device,sample_path,category,format,source,manual_judgment,mode,original_size,analysis_size,downsampled,analysis_time_ms,sharpness,exposure,contrast,color_cast,overall_score,match_status,limitation_or_note,screenshot
emulator,samples/formats/format_clear_webp_01.webp,formats,WebP,Derived from Wikimedia clear sample,人工判断：WebP 格式兼容样本，内容与清晰蝴蝶样本一致,精细模式 2560,1920x1440,1920x1440,No,209,59,95,68,37,68,match,WebP 可选取、预览、分析,screenshots/模拟器/模拟器_最终_格式_WebP_蝴蝶01_结果.png
emulator,samples/counterexamples/counterexample_bokeh_01.jpg,counterexample,JPEG,Wikimedia external,人工判断：有意低光散景/夜景氛围图，人眼可接受但不追求传统清晰,精细模式 2560,1920x1280,1920x1280,No,155,5,0,53,80,24,mismatch,App 将艺术性散景和低光整体判为低质量，适合作为主观审美与简单指标差异的反例,screenshots/模拟器/模拟器_最终_反例_散景车内01_结果.png
emulator,samples/counterexamples/counterexample_colored_lights_02.jpg,counterexample,JPEG,Wikimedia external,人工判断：夜间彩色灯光场景，人眼可接受但有强烈色彩偏移,精细模式 2560,1920x1440,1920x1440,No,145,37,26,100,54,49,partial,App 受低光和偏色影响给低分，特殊灯光场景需要人工解释,screenshots/模拟器/模拟器_最终_反例_彩色灯光02_结果.png
emulator,samples/counterexamples/counterexample_sunset_03.jpg,counterexample,JPEG,Wikimedia external,人工判断：暖色日落峡谷，主观观感较好,精细模式 2560,1920x1280,1920x1280,No,159,89,84,100,71,87,match,App 给出高分，与整体观感一致；仍需说明暖色/审美场景不能只靠偏色指标判断,screenshots/模拟器/模拟器_最终_反例_日落峡谷03_结果.png
emulator,samples/large/large_blue_marble_january_01.jpg,large,JPEG,NASA public imagery,人工判断：大尺寸地球图，用于性能和安全缩放验证,精细模式 2560,5400x2700,2560x1280,Yes,183,74,27,100,70,65,match,App 将 5400x2700 大图安全缩放到 2560x1280 并完成分析,screenshots/模拟器/模拟器_最终_大图_蓝色星球01_结果.png
Redmi K70E,samples/clear/clear_butterfly_03.jpg,clear,JPEG,Wikimedia external,人工判断：主体清晰，色彩偏暖但可接受,精细模式 2560,1920x1280,1920x1280,No,172,86,91,96,38,82,partial,真机结果与模拟器一致；预览和结果拆分为两张截图,screenshots/红米K70E/红米K70E_最终_清晰_蝴蝶03_结果.jpg
Redmi K70E,samples/blur/blur_tanoura_motion_02.jpg,blur,JPEG,Wikimedia external,人工判断：夜间长曝光运动模糊，曝光风险明显,精细模式 2560,1920x1280,1920x1280,No,157,46,0,73,57,39,match,真机结果与模拟器一致；预览和结果拆分为两张截图,screenshots/红米K70E/红米K70E_最终_模糊_旋舞运动02_结果.jpg
Redmi K70E,samples/overexposed/overexposed_sky_02.jpg,overexposed,JPEG,Wikimedia external,人工判断：天空局部过曝，但主体仍可辨认,精细模式 2560,1920x1285,1920x1285,No,169,95,42,100,95,80,partial,真机复现最终反例：过曝风险存在但综合分仍偏高,screenshots/红米K70E/红米K70E_最终_过曝_火车天空02_结果.jpg
Redmi K70E,samples/underexposed/underexposed_sun_01.jpg,underexposed,JPEG,Wikimedia external,人工判断：暗部占比高，整体欠曝,精细模式 2560,1920x1280,1920x1280,No,164,11,0,59,98,30,match,真机结果与模拟器一致,screenshots/红米K70E/红米K70E_最终_欠曝_云中太阳01_结果.jpg
Redmi K70E,samples/noisy/noisy_hong_kong_night_01.jpg,noisy,JPEG,Wikimedia external,人工判断：夜景噪点明显，但建筑边缘较强,精细模式 2560,1920x1258,1920x1258,No,161,93,10,100,76,67,partial,真机复现最终反例：夜景噪点样本的清晰度和对比度偏高,screenshots/红米K70E/红米K70E_最终_噪点_香港夜景01_结果.jpg
Redmi K70E,phone-gallery/jpeg-screenshot-copy-of-clear-butterfly,formats,JPEG,Redmi screenshot-generated JPEG copy,人工判断：手机截图功能生成的 JPEG 兼容性样本，内容为清晰蝴蝶图但不是 repo 原始 JPEG 文件,精细模式 2560,1364x1024,1364x1024,No,105,63,95,72,30,69,partial,该真机 JPEG 由手机截图/保存流程生成，尺寸为 1364x1024；只能证明 Redmi 端 JPEG 可选取、预览、分析，不作为 samples/formats/format_clear_jpeg_01.jpg 的同图跨设备对比,screenshots/红米K70E/红米K70E_最终_格式_JPEG_蝴蝶01_结果.jpg
Redmi K70E,samples/formats/format_clear_png_01.png,formats,PNG,Derived from Wikimedia clear sample,人工判断：PNG 格式兼容样本，内容与清晰蝴蝶样本一致,精细模式 2560,1920x1440,1920x1440,No,268,60,94,74,30,69,match,PNG 真机可选取、预览、分析,screenshots/红米K70E/红米K70E_最终_格式_PNG_蝴蝶01_结果.jpg
Redmi K70E,samples/formats/format_clear_webp_01.webp,formats,WebP,Derived from Wikimedia clear sample,人工判断：WebP 格式兼容样本，内容与清晰蝴蝶样本一致,精细模式 2560,1920x1440,1920x1440,No,186,59,95,68,37,68,match,WebP 真机可选取、预览、分析,screenshots/红米K70E/红米K70E_最终_格式_WebP_蝴蝶01_结果.jpg
Redmi K70E,samples/counterexamples/counterexample_sunset_03.jpg,counterexample,JPEG,Wikimedia external,人工判断：暖色日落峡谷，主观观感较好,精细模式 2560,1920x1280,1920x1280,No,179,89,84,100,71,87,match,真机结果与模拟器一致,screenshots/红米K70E/红米K70E_最终_反例_日落峡谷03_结果.jpg
Redmi K70E,samples/large/large_blue_marble_january_01.jpg,large,JPEG,NASA public imagery,人工判断：大尺寸地球图，用于性能和安全缩放验证,精细模式 2560,5400x2700,2560x1280,Yes,214,74,27,100,70,65,match,真机完成大图安全缩放与分析,screenshots/红米K70E/红米K70E_最终_大图_蓝色星球01_结果.jpg
